 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2012- 7- 6 20: 0: 0,     0.076,     0.000,     0.000,     0.000,   110.629,     0.862,     0.000,     2.573,     0.000,     0.040,   146.760,    46.900
2012- 7- 6 21: 0: 0,     0.319,     0.003,     0.003,     0.003,   110.779,     0.863,     0.000,     2.497,     0.000,     0.165,   144.732,    45.733
2012- 7- 6 22: 0: 0,     0.507,     0.003,     0.003,     0.003,   111.000,     0.865,     0.001,     2.453,     0.002,     0.281,   142.352,    44.567
2012- 7- 6 23: 0: 0,     1.162,     0.003,     0.003,     0.003,   111.517,     0.869,     0.011,     2.496,     0.016,     0.626,   139.635,    43.400
2012- 7- 7  0: 0: 0,     2.982,     0.021,     0.021,     0.021,   112.796,     0.879,     0.097,     2.770,     0.144,     1.539,   136.793,    42.233
2012- 7- 7  1: 0: 0,     3.057,     0.021,     0.021,     0.021,   114.031,     0.888,     0.377,     2.995,     0.467,     1.334,   134.233,    41.067
2012- 7- 7  2: 0: 0,     5.156,     0.021,     0.021,     0.021,   115.943,     0.904,     1.229,     3.339,     1.420,     1.803,   131.883,    39.900
2012- 7- 7  3: 0: 0,     1.694,     0.036,     0.036,     0.035,   116.525,     0.909,     1.242,     3.497,     0.026,     1.050,   131.546,    38.483
2012- 7- 7  4: 0: 0,     2.622,     0.036,     0.036,     0.036,   117.391,     0.915,     1.327,     3.787,     0.153,     1.568,   135.893,    37.067
2012- 7- 7  5: 0: 0,     3.321,     0.036,     0.036,     0.036,   118.442,     0.924,     1.486,     4.171,     0.299,     1.934,   145.013,    35.650
2012- 7- 7  6: 0: 0,     1.962,     0.170,     0.170,     0.170,   118.969,     0.928,     1.497,     4.367,     0.092,     1.173,   174.748,    34.233
2012- 7- 7  7: 0: 0,     1.230,     0.170,     0.170,     0.159,   119.233,     0.930,     1.395,     4.470,     0.008,     0.791,   199.566,    32.817
2012- 7- 7  8: 0: 0,     0.234,     0.170,     0.170,     0.132,   119.219,     0.930,     1.235,     4.399,     0.000,     0.084,   212.811,    31.400
2012- 7- 7  9: 0: 0,     0.278,     0.161,     0.161,     0.138,   119.231,     0.930,     1.043,     4.337,     0.001,     0.110,   215.534,    30.317
